tempStream expectedOffset: 0, readIncrement: 1024
tempStream expectedOffset: 1024, readIncrement: 1024
tempStream expectedOffset: 1371, readIncrement: 1024
tempStream expectedOffset: 2395, readIncrement: 1024
tempStream expectedOffset: 2742, readIncrement: 1024
tempStream expectedOffset: 3766, readIncrement: 1024
tempStream expectedOffset: 4113, readIncrement: 1024
tempStream expectedOffset: 5137, readIncrement: 1024
tempStream expectedOffset: 5484, readIncrement: 1024
tempStream expectedOffset: 6508, readIncrement: 1024
tempStream expectedOffset: 6855, readIncrement: 1024
tempStream expectedOffset: 7879, readIncrement: 1024
tempStream expectedOffset: 8226, readIncrement: 1024
tempStream expectedOffset: 9250, readIncrement: 1024
tempStream expectedOffset: 9597, readIncrement: 1024
tempStream expectedOffset: 10621, readIncrement: 1024
tempStream expectedOffset: 10968, readIncrement: 1024
tempStream expectedOffset: 11992, readIncrement: 1024
tempStream expectedOffset: 12339, readIncrement: 1024
tempStream expectedOffset: 13363, readIncrement: 1024
tempStream expectedOffset: 13710, readIncrement: 1024
tempStream expectedOffset: 14734, readIncrement: 1024
tempStream expectedOffset: 15081, readIncrement: 1024
tempStream expectedOffset: 16105, readIncrement: 1024
tempStream expectedOffset: 16452, readIncrement: 1024
tempStream expectedOffset: 17476, readIncrement: 1024
tempStream expectedOffset: 17823, readIncrement: 1024
tempStream expectedOffset: 18847, readIncrement: 1024
tempStream expectedOffset: 19194, readIncrement: 1024
tempStream expectedOffset: 20218, readIncrement: 1024
tempStream expectedOffset: 20565, readIncrement: 1024
tempStream expectedOffset: 21589, readIncrement: 1024
tempStream expectedOffset: 21936, readIncrement: 1024
tempStream expectedOffset: 22960, readIncrement: 1024
tempStream expectedOffset: 23307, readIncrement: 1024
tempStream expectedOffset: 24331, readIncrement: 1024
tempStream expectedOffset: 24678, readIncrement: 1024
tempStream expectedOffset: 25702, readIncrement: 1024
tempStream expectedOffset: 26049, readIncrement: 1024
tempStream expectedOffset: 27073, readIncrement: 1024
tempStream expectedOffset: 27420, readIncrement: 1024
tempStream expectedOffset: 28444, readIncrement: 1024
tempStream expectedOffset: 28791, readIncrement: 1024
tempStream expectedOffset: 29815, readIncrement: 1024
tempStream expectedOffset: 30162, readIncrement: 1024
tempStream expectedOffset: 31186, readIncrement: 1024
tempStream expectedOffset: 31533, readIncrement: 1024
tempStream expectedOffset: 32557, readIncrement: 1024
tempStream expectedOffset: 32904, readIncrement: 1024
tempStream expectedOffset: 33928, readIncrement: 1024
tempStream expectedOffset: 34275, readIncrement: 1024
tempStream expectedOffset: 35299, readIncrement: 1024
tempStream expectedOffset: 35646, readIncrement: 1024
tempStream expectedOffset: 36670, readIncrement: 1024
tempStream expectedOffset: 37017, readIncrement: 1024
tempStream expectedOffset: 38041, readIncrement: 1024
tempStream expectedOffset: 38388, readIncrement: 1024
tempStream expectedOffset: 39412, readIncrement: 1024
tempStream expectedOffset: 39759, readIncrement: 1024
tempStream expectedOffset: 40783, readIncrement: 1024
tempStream expectedOffset: 41130, readIncrement: 1024
tempStream expectedOffset: 42154, readIncrement: 1024
tempStream expectedOffset: 42501, readIncrement: 1024
tempStream expectedOffset: 43525, readIncrement: 1024
tempStream expectedOffset: 43872, readIncrement: 1024
tempStream expectedOffset: 44896, readIncrement: 1024
tempStream expectedOffset: 45243, readIncrement: 1024
tempStream expectedOffset: 46267, readIncrement: 1024
tempStream expectedOffset: 46614, readIncrement: 1024
tempStream expectedOffset: 47638, readIncrement: 1024
tempStream expectedOffset: 47985, readIncrement: 1024
tempStream expectedOffset: 49009, readIncrement: 1024
tempStream expectedOffset: 49356, readIncrement: 1024
tempStream expectedOffset: 50380, readIncrement: 1024
tempStream expectedOffset: 50727, readIncrement: 1024
tempStream expectedOffset: 51751, readIncrement: 1024
tempStream expectedOffset: 52098, readIncrement: 1024
tempStream expectedOffset: 53122, readIncrement: 1024
tempStream expectedOffset: 53469, readIncrement: 1024
tempStream expectedOffset: 54493, readIncrement: 1024
tempStream expectedOffset: 54840, readIncrement: 1024
tempStream expectedOffset: 55864, readIncrement: 1024
tempStream expectedOffset: 56211, readIncrement: 1024
tempStream expectedOffset: 57235, readIncrement: 1024
tempStream expectedOffset: 57582, readIncrement: 1024
tempStream expectedOffset: 58606, readIncrement: 1024
tempStream expectedOffset: 58953, readIncrement: 1024
tempStream expectedOffset: 59977, readIncrement: 1024
tempStream expectedOffset: 60324, readIncrement: 1024
tempStream expectedOffset: 61348, readIncrement: 1024
tempStream expectedOffset: 61695, readIncrement: 1024
tempStream expectedOffset: 62719, readIncrement: 1024
tempStream expectedOffset: 63066, readIncrement: 1024
tempStream expectedOffset: 64090, readIncrement: 1024
tempStream expectedOffset: 64437, readIncrement: 1024
tempStream expectedOffset: 65461, readIncrement: 1024
tempStream expectedOffset: 65808, readIncrement: 1024
tempStream expectedOffset: 66832, readIncrement: 1024
tempStream expectedOffset: 67179, readIncrement: 1024
tempStream expectedOffset: 68203, readIncrement: 1024
tempStream expectedOffset: 68550, readIncrement: 1024
tempStream expectedOffset: 69574, readIncrement: 1024
tempStream expectedOffset: 69921, readIncrement: 1024
tempStream expectedOffset: 70945, readIncrement: 1024
tempStream expectedOffset: 71292, readIncrement: 1024
tempStream expectedOffset: 72316, readIncrement: 1024
tempStream expectedOffset: 72663, readIncrement: 1024
tempStream expectedOffset: 73687, readIncrement: 1024
tempStream expectedOffset: 74034, readIncrement: 1024
tempStream expectedOffset: 75058, readIncrement: 1024
tempStream expectedOffset: 75405, readIncrement: 1024
tempStream expectedOffset: 76429, readIncrement: 1024
tempStream expectedOffset: 76776, readIncrement: 1024
tempStream expectedOffset: 77800, readIncrement: 1024
tempStream expectedOffset: 78147, readIncrement: 1024
tempStream expectedOffset: 79171, readIncrement: 1024
tempStream expectedOffset: 79518, readIncrement: 1024
tempStream expectedOffset: 80542, readIncrement: 1024
tempStream expectedOffset: 80889, readIncrement: 1024
tempStream expectedOffset: 81913, readIncrement: 1024
tempStream expectedOffset: 82260, readIncrement: 1024
tempStream expectedOffset: 83284, readIncrement: 1024
tempStream expectedOffset: 83631, readIncrement: 1024
tempStream expectedOffset: 84655, readIncrement: 1024
tempStream expectedOffset: 85002, readIncrement: 1024
tempStream expectedOffset: 86026, readIncrement: 1024
tempStream expectedOffset: 86373, readIncrement: 1024
tempStream expectedOffset: 87397, readIncrement: 1024
tempStream expectedOffset: 87744, readIncrement: 1024
tempStream expectedOffset: 88768, readIncrement: 1024
tempStream expectedOffset: 89115, readIncrement: 1024
tempStream expectedOffset: 90139, readIncrement: 1024
tempStream expectedOffset: 90486, readIncrement: 1024
tempStream expectedOffset: 91510, readIncrement: 1024
tempStream expectedOffset: 91857, readIncrement: 1024
tempStream expectedOffset: 92881, readIncrement: 1024
tempStream expectedOffset: 93228, readIncrement: 1024
tempStream expectedOffset: 94252, readIncrement: 1024
tempStream expectedOffset: 94599, readIncrement: 1024
