tempStream expectedOffset: 0, readIncrement: 1025
tempStream expectedOffset: 1025, readIncrement: 1025
tempStream expectedOffset: 1371, readIncrement: 1025
tempStream expectedOffset: 2396, readIncrement: 1025
tempStream expectedOffset: 2742, readIncrement: 1025
tempStream expectedOffset: 3767, readIncrement: 1025
tempStream expectedOffset: 4113, readIncrement: 1025
tempStream expectedOffset: 5138, readIncrement: 1025
tempStream expectedOffset: 5484, readIncrement: 1025
tempStream expectedOffset: 6509, readIncrement: 1025
tempStream expectedOffset: 6855, readIncrement: 1025
tempStream expectedOffset: 7880, readIncrement: 1025
tempStream expectedOffset: 8226, readIncrement: 1025
tempStream expectedOffset: 9251, readIncrement: 1025
tempStream expectedOffset: 9597, readIncrement: 1025
tempStream expectedOffset: 10622, readIncrement: 1025
tempStream expectedOffset: 10968, readIncrement: 1025
tempStream expectedOffset: 11993, readIncrement: 1025
tempStream expectedOffset: 12339, readIncrement: 1025
tempStream expectedOffset: 13364, readIncrement: 1025
tempStream expectedOffset: 13710, readIncrement: 1025
tempStream expectedOffset: 14735, readIncrement: 1025
tempStream expectedOffset: 15081, readIncrement: 1025
tempStream expectedOffset: 16106, readIncrement: 1025
tempStream expectedOffset: 16452, readIncrement: 1025
tempStream expectedOffset: 17477, readIncrement: 1025
tempStream expectedOffset: 17823, readIncrement: 1025
tempStream expectedOffset: 18848, readIncrement: 1025
tempStream expectedOffset: 19194, readIncrement: 1025
tempStream expectedOffset: 20219, readIncrement: 1025
tempStream expectedOffset: 20565, readIncrement: 1025
tempStream expectedOffset: 21590, readIncrement: 1025
tempStream expectedOffset: 21936, readIncrement: 1025
tempStream expectedOffset: 22961, readIncrement: 1025
tempStream expectedOffset: 23307, readIncrement: 1025
tempStream expectedOffset: 24332, readIncrement: 1025
tempStream expectedOffset: 24678, readIncrement: 1025
tempStream expectedOffset: 25703, readIncrement: 1025
tempStream expectedOffset: 26049, readIncrement: 1025
tempStream expectedOffset: 27074, readIncrement: 1025
tempStream expectedOffset: 27420, readIncrement: 1025
tempStream expectedOffset: 28445, readIncrement: 1025
tempStream expectedOffset: 28791, readIncrement: 1025
tempStream expectedOffset: 29816, readIncrement: 1025
tempStream expectedOffset: 30162, readIncrement: 1025
tempStream expectedOffset: 31187, readIncrement: 1025
tempStream expectedOffset: 31533, readIncrement: 1025
tempStream expectedOffset: 32558, readIncrement: 1025
tempStream expectedOffset: 32904, readIncrement: 1025
tempStream expectedOffset: 33929, readIncrement: 1025
tempStream expectedOffset: 34275, readIncrement: 1025
tempStream expectedOffset: 35300, readIncrement: 1025
tempStream expectedOffset: 35646, readIncrement: 1025
tempStream expectedOffset: 36671, readIncrement: 1025
tempStream expectedOffset: 37017, readIncrement: 1025
tempStream expectedOffset: 38042, readIncrement: 1025
tempStream expectedOffset: 38388, readIncrement: 1025
tempStream expectedOffset: 39413, readIncrement: 1025
tempStream expectedOffset: 39759, readIncrement: 1025
tempStream expectedOffset: 40784, readIncrement: 1025
tempStream expectedOffset: 41130, readIncrement: 1025
tempStream expectedOffset: 42155, readIncrement: 1025
tempStream expectedOffset: 42501, readIncrement: 1025
tempStream expectedOffset: 43526, readIncrement: 1025
tempStream expectedOffset: 43872, readIncrement: 1025
tempStream expectedOffset: 44897, readIncrement: 1025
tempStream expectedOffset: 45243, readIncrement: 1025
tempStream expectedOffset: 46268, readIncrement: 1025
tempStream expectedOffset: 46614, readIncrement: 1025
tempStream expectedOffset: 47639, readIncrement: 1025
tempStream expectedOffset: 47985, readIncrement: 1025
tempStream expectedOffset: 49010, readIncrement: 1025
tempStream expectedOffset: 49356, readIncrement: 1025
tempStream expectedOffset: 50381, readIncrement: 1025
tempStream expectedOffset: 50727, readIncrement: 1025
tempStream expectedOffset: 51752, readIncrement: 1025
tempStream expectedOffset: 52098, readIncrement: 1025
tempStream expectedOffset: 53123, readIncrement: 1025
tempStream expectedOffset: 53469, readIncrement: 1025
tempStream expectedOffset: 54494, readIncrement: 1025
tempStream expectedOffset: 54840, readIncrement: 1025
tempStream expectedOffset: 55865, readIncrement: 1025
tempStream expectedOffset: 56211, readIncrement: 1025
tempStream expectedOffset: 57236, readIncrement: 1025
tempStream expectedOffset: 57582, readIncrement: 1025
tempStream expectedOffset: 58607, readIncrement: 1025
tempStream expectedOffset: 58953, readIncrement: 1025
tempStream expectedOffset: 59978, readIncrement: 1025
tempStream expectedOffset: 60324, readIncrement: 1025
tempStream expectedOffset: 61349, readIncrement: 1025
tempStream expectedOffset: 61695, readIncrement: 1025
tempStream expectedOffset: 62720, readIncrement: 1025
tempStream expectedOffset: 63066, readIncrement: 1025
tempStream expectedOffset: 64091, readIncrement: 1025
tempStream expectedOffset: 64437, readIncrement: 1025
tempStream expectedOffset: 65462, readIncrement: 1025
tempStream expectedOffset: 65808, readIncrement: 1025
tempStream expectedOffset: 66833, readIncrement: 1025
tempStream expectedOffset: 67179, readIncrement: 1025
tempStream expectedOffset: 68204, readIncrement: 1025
tempStream expectedOffset: 68550, readIncrement: 1025
tempStream expectedOffset: 69575, readIncrement: 1025
tempStream expectedOffset: 69921, readIncrement: 1025
tempStream expectedOffset: 70946, readIncrement: 1025
tempStream expectedOffset: 71292, readIncrement: 1025
tempStream expectedOffset: 72317, readIncrement: 1025
tempStream expectedOffset: 72663, readIncrement: 1025
tempStream expectedOffset: 73688, readIncrement: 1025
tempStream expectedOffset: 74034, readIncrement: 1025
tempStream expectedOffset: 75059, readIncrement: 1025
tempStream expectedOffset: 75405, readIncrement: 1025
tempStream expectedOffset: 76430, readIncrement: 1025
tempStream expectedOffset: 76776, readIncrement: 1025
tempStream expectedOffset: 77801, readIncrement: 1025
tempStream expectedOffset: 78147, readIncrement: 1025
tempStream expectedOffset: 79172, readIncrement: 1025
tempStream expectedOffset: 79518, readIncrement: 1025
tempStream expectedOffset: 80543, readIncrement: 1025
tempStream expectedOffset: 80889, readIncrement: 1025
tempStream expectedOffset: 81914, readIncrement: 1025
tempStream expectedOffset: 82260, readIncrement: 1025
tempStream expectedOffset: 83285, readIncrement: 1025
tempStream expectedOffset: 83631, readIncrement: 1025
tempStream expectedOffset: 84656, readIncrement: 1025
tempStream expectedOffset: 85002, readIncrement: 1025
tempStream expectedOffset: 86027, readIncrement: 1025
tempStream expectedOffset: 86373, readIncrement: 1025
tempStream expectedOffset: 87398, readIncrement: 1025
tempStream expectedOffset: 87744, readIncrement: 1025
tempStream expectedOffset: 88769, readIncrement: 1025
tempStream expectedOffset: 89115, readIncrement: 1025
tempStream expectedOffset: 90140, readIncrement: 1025
tempStream expectedOffset: 90486, readIncrement: 1025
tempStream expectedOffset: 91511, readIncrement: 1025
tempStream expectedOffset: 91857, readIncrement: 1025
tempStream expectedOffset: 92882, readIncrement: 1025
tempStream expectedOffset: 93228, readIncrement: 1025
tempStream expectedOffset: 94253, readIncrement: 1025
tempStream expectedOffset: 94599, readIncrement: 1025
tempStream expectedOffset: 95624, readIncrement: 1025
tempStream expectedOffset: 95970, readIncrement: 1025
tempStream expectedOffset: 96995, readIncrement: 1025
tempStream expectedOffset: 97341, readIncrement: 1025
tempStream expectedOffset: 98366, readIncrement: 1025
tempStream expectedOffset: 98712, readIncrement: 1025
tempStream expectedOffset: 99737, readIncrement: 1025
tempStream expectedOffset: 100083, readIncrement: 1025
tempStream expectedOffset: 101108, readIncrement: 1025
tempStream expectedOffset: 101454, readIncrement: 1025
tempStream expectedOffset: 102479, readIncrement: 1025
tempStream expectedOffset: 102825, readIncrement: 1025
tempStream expectedOffset: 103850, readIncrement: 1025
tempStream expectedOffset: 104196, readIncrement: 1025
tempStream expectedOffset: 105221, readIncrement: 1025
tempStream expectedOffset: 105567, readIncrement: 1025
tempStream expectedOffset: 106592, readIncrement: 1025
tempStream expectedOffset: 106938, readIncrement: 1025
tempStream expectedOffset: 107963, readIncrement: 1025
tempStream expectedOffset: 108309, readIncrement: 1025
tempStream expectedOffset: 109334, readIncrement: 1025
tempStream expectedOffset: 109680, readIncrement: 1025
tempStream expectedOffset: 110705, readIncrement: 1025
tempStream expectedOffset: 111051, readIncrement: 1025
tempStream expectedOffset: 112076, readIncrement: 1025
tempStream expectedOffset: 112422, readIncrement: 1025
tempStream expectedOffset: 113447, readIncrement: 1025
tempStream expectedOffset: 113793, readIncrement: 1025
tempStream expectedOffset: 114818, readIncrement: 1025
tempStream expectedOffset: 115164, readIncrement: 1025
tempStream expectedOffset: 116189, readIncrement: 1025
tempStream expectedOffset: 116535, readIncrement: 1025
tempStream expectedOffset: 117560, readIncrement: 1025
tempStream expectedOffset: 117906, readIncrement: 1025
tempStream expectedOffset: 118931, readIncrement: 1025
tempStream expectedOffset: 119277, readIncrement: 1025
tempStream expectedOffset: 120302, readIncrement: 1025
tempStream expectedOffset: 120648, readIncrement: 1025
tempStream expectedOffset: 121673, readIncrement: 1025
tempStream expectedOffset: 122019, readIncrement: 1025
tempStream expectedOffset: 123044, readIncrement: 1025
tempStream expectedOffset: 123390, readIncrement: 1025
tempStream expectedOffset: 124415, readIncrement: 1025
tempStream expectedOffset: 124761, readIncrement: 1025
tempStream expectedOffset: 125786, readIncrement: 1025
tempStream expectedOffset: 126132, readIncrement: 1025
tempStream expectedOffset: 127157, readIncrement: 1025
tempStream expectedOffset: 127503, readIncrement: 1025
tempStream expectedOffset: 128528, readIncrement: 1025
tempStream expectedOffset: 128874, readIncrement: 1025
tempStream expectedOffset: 129899, readIncrement: 1025
tempStream expectedOffset: 130245, readIncrement: 1025
tempStream expectedOffset: 131270, readIncrement: 1025
tempStream expectedOffset: 131616, readIncrement: 1025
tempStream expectedOffset: 132641, readIncrement: 1025
